,user_id,timestamp,converted
4402,759903,2017-01-21 20:33:04.550046,0
214023,889087,2017-01-16 16:59:09.713050,0
143767,896579,2017-01-10 03:04:35.928212,0
192434,748209,2017-01-23 22:31:58.061727,0
139934,935283,2017-01-07 18:17:28.683289,0
227100,912452,2017-01-19 05:08:46.675597,0
252022,940876,2017-01-07 06:03:19.473849,0
27752,688360,2017-01-23 18:29:53.799171,0
248441,691845,2017-01-05 18:06:30.469511,0
262440,843172,2017-01-24 03:35:53.630124,0
286548,647343,2017-01-05 15:06:37.415857,1
42004,909455,2017-01-05 10:33:05.534015,1
76395,808684,2017-01-24 01:12:27.491738,0
63301,800778,2017-01-12 07:33:17.771232,0
47431,733868,2017-01-21 10:04:39.047860,1
69030,635621,2017-01-22 06:10:34.921953,1
249169,844545,2017-01-17 10:16:56.094536,0
62576,672048,2017-01-12 22:24:41.703422,0
56197,878190,2017-01-21 18:25:38.929092,0
3329,671364,2017-01-23 08:36:35.255381,0
122617,748771,2017-01-08 14:21:36.467379,0
21469,678501,2017-01-07 07:32:46.470954,0
102293,662224,2017-01-15 03:13:33.739187,0
44707,924951,2017-01-11 14:45:47.620392,1
127200,717645,2017-01-08 15:59:17.439542,1
139161,913952,2017-01-19 10:38:05.588259,0
50149,936869,2017-01-07 06:30:35.366648,0
26623,829096,2017-01-14 22:12:07.992783,0
292359,642604,2017-01-24 03:39:02.009146,1
33622,883556,2017-01-10 15:32:05.602333,0
212646,801203,2017-01-08 00:44:00.187164,0
273203,759506,2017-01-19 06:28:02.092574,0
92522,884791,2017-01-14 02:21:55.293516,0
143287,770586,2017-01-19 22:40:05.605245,0
142601,717877,2017-01-17 04:52:15.871133,0
82193,699075,2017-01-23 00:45:36.276938,1
284360,633962,2017-01-15 19:08:06.951928,0
147703,913502,2017-01-24 06:38:27.988758,0
185957,934675,2017-01-11 23:24:31.489410,0
68722,750454,2017-01-23 08:18:25.908631,0
171223,791635,2017-01-10 21:26:11.821679,1
127175,655044,2017-01-20 17:08:14.479478,0
138896,820853,2017-01-13 05:13:57.041883,0
216984,717998,2017-01-06 15:51:25.214297,0
224004,914335,2017-01-15 19:38:53.748337,0
48613,650634,2017-01-16 17:26:12.270645,0
134038,720178,2017-01-22 17:15:26.264120,0
38852,723948,2017-01-15 20:55:08.498996,0
177333,786430,2017-01-08 19:54:29.533169,0
104558,789095,2017-01-17 19:09:50.170887,0
226421,833429,2017-01-22 23:59:23.513662,0
15345,914390,2017-01-07 14:58:32.052402,0
70992,869582,2017-01-10 00:36:35.753533,0
